A B crs
30 08 3.670071125264935
30 09 3.5542969107417424
30 10 2.9403915816416224
30 11 2.9488974440504316
30 12 1.1186562828440034
30 13 0.6320628666971937
30 14 1.7714042543734083
30 15 7.404612651946719
30 16 0.6949144744128374
30 17 4.59533581130073
30 18 0
30 19 1.7499431533725953
30 20 4.271254855250768
30 21 3.7825735497598774
30 22 2.8326961820595358
30 23 0.1665329453998126
30 24 4.926650303391796
30 25 2.953532638753704
30 26 3.258306155961895
30 27 6.472456082852883
30 28 2.0479798334853987
30 29 1.879595577136921
31 01 0
31 02 2.4872145347936185
31 03 3.167767314005676
31 04 4.049622760213569
31 05 2.5028458160120977
31 06 3.7895548866916413
31 07 3.903243465520531
31 08 2.418767263967156
31 09 0.03451385368803147
31 10 3.6733072277155037
31 11 5.977952553720242
31 12 1.6225673049044018
31 13 2.7496221060438337
31 14 4.365619984808291
31 15 5.290441690884946
31 16 1.3628090834799527
31 17 2.4866371541265146
31 18 3.9562496024087506
31 19 0.8214871119330537
31 20 0
31 21 5.893133675772421
31 22 0
31 23 3.5556582087091297
31 24 2.2732015231466898
31 25 1.3760702323743361
31 26 0
31 27 4.321513077270093
31 28 1.7263368844737736
31 29 5.35908546366794
31 30 3.1669542118199
32 01 3.487091727096193
32 02 4.975395164365422
32 03 6.766012266877853
32 04 6.2255997616165
32 05 1.9830668745003883
32 06 2.400643767722212
32 07 8.567838244993608
32 08 8.125337743885279
32 09 2.3996912958287946
32 10 1.6209368210075707
32 11 5.029259386011358
32 12 6.342908326629133
32 13 3.2133941710412053
32 14 3.7090247104835847
32 15 0.254352515030609
32 16 4.215520525326302
32 17 8.459180832795745
32 18 5.381877614079721
32 19 3.395666393571414
32 20 4.177997378273095
32 21 3.6330148660462585
32 22 5.802331122499013
32 23 4.4851844062329995
32 24 0
32 25 7.089529662510814
32 26 3.604327568674208
32 27 0
32 28 2.9142529211329875
32 29 5.2028633605284975
32 30 6.077003173864576
32 31 4.241685573544348
33 01 1.2964756888037243
33 02 4.339986594736551
33 03 5.741851836491473
33 04 5.835101013173664
33 05 1.91504230888329
33 06 3.4569484455589308
33 07 7.124118765789374
33 08 6.109540224326233
33 09 0.5983854126595272
33 10 2.4451943485296113
33 11 5.921760243112865
33 12 4.897680855644984
33 13 3.5220228131448734
33 14 4.287907357261744
33 15 0.5640095191281287
33 16 3.3264292907611632
33 17 6.294795968196687
33 18 5.546270422619442
33 19 2.2900306836155946
33 20 1.9398364152131033
33 21 4.676922908850002
33 22 3.6447112595023077
33 23 4.7754365362501305
33 24 0
33 25 5.1064164086892045
33 26 1.571507368745314
33 27 0
33 28 2.3125731248346133
33 29 5.804415921993859
33 30 5.548524297998247
33 31 2.1276798588265504
33 32 0.39234177194403347
34 01 0.7149609349215775
34 02 2.7730685902626684
34 03 4.294696186940528
34 04 4.260296284757791
34 05 0.6600558437684093
34 06 2.3190485431938037
34 07 5.8627271750674
34 08 5.262885251424162
34 09 0
34 10 1.6494973676434646
34 11 4.797271188868951
34 12 3.640457309581928
34 13 2.192448938520604
34 14 3.08585714727611
34 15 2.8979555604837315
34 16 1.827809614457223
34 17 5.635723329155275
34 18 3.9692479927843984
34 19 0.7843100087313596
34 20 1.4058172927000367
34 21 4.086102628772069
34 22 2.982737368630009
34 23 3.348329107610579
34 24 0
34 25 4.226581079031633
34 26 0.7882053730434037
34 27 1.881998159486681
34 28 0.7523194353821397
34 29 4.4760457588434726
34 30 3.9943872583965963
34 31 1.505460532979062
34 32 1.7085659618863343
34 33 0.1625392042581109
36 01 4.578159745086979
36 02 6.1192726140905025
36 03 7.9302764794279454
36 04 7.209945339929865
36 05 3.031015872536925
36 06 2.9410593836718486
36 07 9.758552802433202
36 08 9.286323431037067
36 09 3.536854624387313
36 10 2.256748730065175
36 11 5.557859773341954
36 12 7.534718236567341
36 13 4.211802884427361
36 14 4.546404898534398
36 15 0
36 16 5.381259476807419
36 17 9.588206084242826
36 18 6.230137054471595
36 19 4.588279648310893
36 20 5.265983589857878
36 21 4.121065116663012
36 22 6.928546818567842
36 23 5.425195769606982
36 24 0.8062630720621037
36 25 8.25210190165507
36 26 4.730005685700072
36 27 0
36 28 4.048718990860558
36 29 5.944042822957627
36 30 7.136068630562828
36 31 5.362096029756776
36 32 0
36 33 0.9191587135187719
36 34 2.8781426325903166
36 35 13.28125882378875
37 01 2.536496177662389
37 02 2.8439798738834363
37 03 4.663874549380123
37 04 4.093153494952047
37 05 0
37 06 0.8381457688679183
37 07 6.560733211981578
37 08 6.479678909417459
37 09 1.1941680390582554
37 10 0
37 11 3.245288982576581
37 12 4.370896529039203
37 13 1.0843683350502646
37 14 1.6646324721675476
37 15 2.0940521379002486
37 16 2.124321831180613
37 17 6.970761803285612
37 18 3.313422796708777
37 19 1.5562857423262866
37 20 3.128082217923168
37 21 2.037040571568729
37 22 4.323528657830216
37 23 2.3779322011426176
37 24 0.8084221020763074
37 25 5.424465402810768
37 26 2.2624689667168623
37 27 1.2125502772021894
37 28 0.7753304397343773
37 29 3.196083253414779
37 30 3.9381796924493915
37 31 3.0085939860447173
37 32 0.7890609460704273
37 33 1.6126722573944368
37 34 0.757319964451644
37 35 12.717971717742046
37 36 1.6833719847274964
39 01 0.1151780948125114
39 02 3.6427962867320383
39 03 4.9379019492083485
39 04 5.141766599526534
39 05 1.7348172182934842
39 06 3.3652273563617956
39 07 6.107258103366326
39 08 4.807536987583094
39 09 0
39 10 2.792879754811371
39 11 5.852828640810512
39 12 3.8287002225051463
39 13 3.1833444511483644
39 14 4.143806935370332
39 15 2.874060545587943
39 16 2.574439868031998
39 17 4.944240577909749
39 18 4.874251531818719
39 19 1.5752499543432574
39 20 0.6297550193514327
39 21 5.232509040687755
39 22 2.310003513866561
39 23 4.323899930861552
39 24 0
39 25 3.8323884813506592
39 26 0.5915606492922239
39 27 1.9700010626034992
39 28 1.6401444714175262
39 29 5.489340550377177
39 30 4.7684001122443975
39 31 0.949000189516871
39 32 2.0327184617797114
